2026-05-18 10:54:53,489 [DEBUG] Logger initialized
2026-05-18 10:54:53,489 [INFO] Starting model run
2026-05-18 10:54:53,489 [INFO] Config: C:\Users\GEVENSON\Data\bmp\basin-bmp-sim\examples\east_fork.yaml
2026-05-18 10:54:53,489 [INFO] Logging to: outputs\log_20260518_105453.txt
2026-05-18 10:54:53,937 [DEBUG] Sampled value 49.1949 from stats={'min': np.int64(10), 'max': np.int64(60), 'mean': np.int64(35), 'p50': np.int64(35)} kind=None low=None high=None
2026-05-18 10:54:53,958 [DEBUG] Sampled value 0.388412 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,959 [DEBUG] Sampled value 0.100092 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,959 [DEBUG] Sampled value 0.0568136 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,961 [DEBUG] Sampled value 14.5024 from stats={'min': np.int64(10), 'max': np.int64(60), 'mean': np.int64(35), 'p50': np.int64(35)} kind=None low=None high=None
2026-05-18 10:54:53,981 [DEBUG] Sampled value 0.0983815 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,982 [DEBUG] Sampled value 0.200627 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,983 [DEBUG] Sampled value 0.0956936 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,984 [DEBUG] Sampled value 44.816 from stats={'min': np.int64(10), 'max': np.int64(60), 'mean': np.int64(35), 'p50': np.int64(35)} kind=None low=None high=None
2026-05-18 10:54:54,005 [DEBUG] Sampled value 0.140454 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
